"","mRNAselected_values","ENSG"
"MMRF_2723","21.0876","2723"
"MMRF_2788","13.2477","2788"
"MMRF_1824","11.0354","1824"
"MMRF_1856","16.4961","1856"
"MMRF_1963","12.463","1963"
"MMRF_1935","30.888","1935"
"MMRF_2102","14.6654","2102"
"MMRF_1388","5.787","1388"
"MMRF_2150","14.201","2150"
"MMRF_1089","15.0154","1089"
"MMRF_2740","21.6315","2740"
"MMRF_1965","12.9211","1965"
"MMRF_1965","11.1772","1965"
"MMRF_1835","17.7972","1835"
"MMRF_1344","11.1698","1344"
"MMRF_1857","15.1906","1857"
"MMRF_2076","11.7925","2076"
"MMRF_1871","16.2607","1871"
"MMRF_1453","11.6936","1453"
"MMRF_1354","10.6725","1354"
"MMRF_2709","20.7288","2709"
"MMRF_2290","21.0476","2290"
"MMRF_2570","26.994","2570"
"MMRF_1644","13.7782","1644"
"MMRF_1847","15.5533","1847"
"MMRF_2690","21.5465","2690"
"MMRF_1447","13.1502","1447"
"MMRF_2314","18.1311","2314"
"MMRF_2816","13.3027","2816"
"MMRF_2041","13.6429","2041"
"MMRF_2643","9.7814","2643"
"MMRF_2691","14.6442","2691"
"MMRF_2682","17.5363","2682"
"MMRF_2641","6.5771","2641"
"MMRF_2378","15.1273","2378"
"MMRF_2341","15.2873","2341"
"MMRF_2465","23.1275","2465"
"MMRF_1921","19.2328","1921"
"MMRF_1577","16.4949","1577"
"MMRF_1882","18.2288","1882"
"MMRF_2761","10.7481","2761"
"MMRF_1371","11.1529","1371"
"MMRF_2518","16.6753","2518"
"MMRF_1309","11.5122","1309"
"MMRF_1309","8.9837","1309"
"MMRF_1546","18.7397","1546"
"MMRF_2225","20.5485","2225"
"MMRF_1542","20.1851","1542"
"MMRF_2271","15.7929","2271"
"MMRF_1630","8.1228","1630"
"MMRF_1365","8.3633","1365"
"MMRF_1842","11.9789","1842"
"MMRF_2293","15.0454","2293"
"MMRF_1328","19.823","1328"
"MMRF_2362","11.3278","2362"
"MMRF_2043","21.3416","2043"
"MMRF_1320","15.6956","1320"
"MMRF_2743","10.542","2743"
"MMRF_2497","15.7073","2497"
"MMRF_2646","7.4122","2646"
"MMRF_1584","10.8644","1584"
"MMRF_1817","9.3745","1817"
"MMRF_1496","16.6047","1496"
"MMRF_1496","16.0651","1496"
"MMRF_1496","17.2494","1496"
"MMRF_1496","10.6037","1496"
"MMRF_2074","16.021","2074"
"MMRF_2794","15.7598","2794"
"MMRF_1148","11.6872","1148"
"MMRF_1531","12.4388","1531"
"MMRF_1323","15.6736","1323"
"MMRF_1223","15.8305","1223"
"MMRF_1281","14.4775","1281"
"MMRF_1802","8.8729","1802"
"MMRF_2401","16.906","2401"
"MMRF_2401","19.2563","2401"
"MMRF_1425","14.7905","1425"
"MMRF_2170","11.3558","2170"
"MMRF_1360","20.6501","1360"
"MMRF_2622","14.2823","2622"
"MMRF_2652","6.5182","2652"
"MMRF_1625","7.3664","1625"
"MMRF_1672","24.0963","1672"
"MMRF_1512","13.5358","1512"
"MMRF_1413","17.2036","1413"
"MMRF_2310","21.1953","2310"
"MMRF_1474","12.2755","1474"
"MMRF_1021","22.4922","1021"
"MMRF_2098","18.2459","2098"
"MMRF_1286","10.966","1286"
"MMRF_2468","7.0144","2468"
"MMRF_1049","15.9409","1049"
"MMRF_1049","13.9469","1049"
"MMRF_1232","19.3688","1232"
"MMRF_2302","21.3344","2302"
"MMRF_2604","14.3816","2604"
"MMRF_1184","15.875","1184"
"MMRF_2195","14.9726","2195"
"MMRF_2524","13.9309","2524"
"MMRF_2379","11.0669","2379"
"MMRF_2054","11.4882","2054"
"MMRF_1736","10.6743","1736"
"MMRF_1850","21.2861","1850"
"MMRF_1570","12.3079","1570"
"MMRF_1324","21.3393","1324"
"MMRF_1424","14.4358","1424"
"MMRF_1201","11.516","1201"
"MMRF_1201","10.8287","1201"
"MMRF_2093","13.9911","2093"
"MMRF_1927","10.0338","1927"
"MMRF_1927","7.2149","1927"
"MMRF_2635","8.7744","2635"
"MMRF_2228","18.4397","2228"
"MMRF_1897","16.0163","1897"
"MMRF_1897","16.1536","1897"
"MMRF_2676","7.618","2676"
"MMRF_2789","14.9178","2789"
"MMRF_2363","15.9153","2363"
"MMRF_1318","10.7319","1318"
"MMRF_2642","14.8163","2642"
"MMRF_1556","11.7613","1556"
"MMRF_1346","12.8528","1346"
"MMRF_1461","16.0891","1461"
"MMRF_1819","12.6984","1819"
"MMRF_1777","13.7447","1777"
"MMRF_2697","12.1287","2697"
"MMRF_1895","11.5496","1895"
"MMRF_2329","13.0382","2329"
"MMRF_2187","15.2565","2187"
"MMRF_2187","17.5192","2187"
"MMRF_2727","29.0455","2727"
"MMRF_2325","17.1307","2325"
"MMRF_1888","9.9087","1888"
"MMRF_1451","35.47","1451"
"MMRF_1780","18.1034","1780"
"MMRF_1475","11.2105","1475"
"MMRF_1277","14.6575","1277"
"MMRF_2230","11.8248","2230"
"MMRF_2531","12.3951","2531"
"MMRF_2531","12.385","2531"
"MMRF_2531","13.6614","2531"
"MMRF_1659","15.4134","1659"
"MMRF_1659","14.6144","1659"
"MMRF_2119","11.6118","2119"
"MMRF_1501","16.6402","1501"
